option,name,split,data_mode,daily_filter,note,total_trades,net_return_pct,avg_r,win_rate,dollar_profit_factor,max_dd_pct,avg_mfe_r,excellent_trades,excellent_rate,low_mfe_loss_rate,right_then_lost_rate,top5_winner_share,qqq_trades,qqq_pnl_dollars,qqq_avg_r,qqq_win_rate,qqq_excellent_rate,qqq_avg_mfe_r,qqq_low_mfe_loss_rate,gld_trades,gld_pnl_dollars,gld_avg_r,gld_win_rate,gld_excellent_rate,gld_avg_mfe_r,gld_low_mfe_loss_rate
baseline,current_round7,train,current,,Current 4h/1h/15m round-7 config.,123.0,132.72208499999834,0.6814279217992009,0.6016260162601627,2.1238396931200114,13.680092384418167,2.949066833051359,70.0,0.5691056910569106,0.3252032520325203,0.07317073170731707,0.35575127412138774,32,59611.54500000059,0.6586016918850924,0.78125,0.78125,2.017681403869391,0.21875,91,73110.53999999764,0.6894547279228435,0.5384615384615384,0.4945054945054945,3.276586983972491,0.3626373626373626
baseline,current_round7,oos,current,,Current 4h/1h/15m round-7 config.,10.0,10.997740000000295,0.6610659176816842,0.7,3.2781392477695532,3.461484110083319,2.360626381704263,6.0,0.6,0.2,0.1,0.9099974069168629,1,305.0700000000222,0.16819578516427353,1.0,0.0,1.9269325565366606,0.0,9,10692.669999999993,0.7158292657391743,0.6666666666666666,0.6666666666666666,2.408814584500664,0.2222222222222222
option1,pb30_same_params,train,pb30,,"4h trend, 30m pullback, original durations.",5.0,-3.897960000000268,-0.7259544452820496,0.2,0.19087997376248053,5.457294438473841,2.204612126137371,0.0,0.0,0.8,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,-3897.960000000073,-0.7259544452820496,0.2,0.0,2.204612126137371,0.8
option1,pb30_same_params,oos,pb30,,"4h trend, 30m pullback, original durations.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
option1,pb30_scaled_duration,train,pb30,,30m pullback with duration scaled to roughly current 1h span.,4.0,-3.1460600000002157,-0.904741554786572,0.25,0.5467556042182868,6.941200000000114,1.720411764888725,1.0,0.25,0.5,0.25,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,-3146.0600000000486,-0.904741554786572,0.25,0.25,1.720411764888725,0.5
option1,pb30_scaled_duration,oos,pb30,,30m pullback with duration scaled to roughly current 1h span.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
option1,pb30_quality,train,pb30,,30m pullback with control/value quality filter.,2.0,-5.721610000000074,-2.0020441623723984,0.0,0.0,5.721610000000074,1.9011804435338744,0.0,0.0,0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,-5721.610000000088,-2.0020441623723984,0.0,0.0,1.9011804435338744,0.5
option1,pb30_quality,oos,pb30,,30m pullback with control/value quality filter.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
option1,pb30_loose_confirm,train,pb30,,30m pullback with shorter duration and single confirmation.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
option1,pb30_loose_confirm,oos,pb30,,30m pullback with shorter duration and single confirmation.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
option2,daily_sma20,train,current,sma20,,13.0,40.688809999999705,1.469161238512,0.8461538461538461,24.862305369029265,2.2236131690838326,3.7432631436320665,11.0,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.7399520890913319,6,16098.660000000142,1.1777062342630102,1.0,1.0,2.573361365767183,0.0,7,24590.149999999943,1.7189798135825636,0.7142857142857143,0.7142857142857143,4.74603609608768,0.14285714285714285
option2,daily_sma20,oos,current,sma20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
option2,daily_sma50,train,current,sma50,,28.0,42.16558999999982,0.8593827868802139,0.75,3.969280192893082,7.462133266244128,2.874203248271846,21.0,0.75,0.25,0.0,0.5285382092158966,10,10307.69000000023,0.5308044437114167,0.7,0.7,2.3086429425632753,0.3,18,31857.89999999949,1.041926310862879,0.7777777777777778,0.7777777777777778,3.1884034181099405,0.2222222222222222
option2,daily_sma50,oos,current,sma50,,2.0,4.858230000000054,1.499245896231614,1.0,4858.229999999996,1.9979402023132837,2.6820789942101793,2.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,4858.229999999996,1.499245896231614,1.0,1.0,2.6820789942101793,0.0
option2,daily_sma20_50,train,current,sma20_50,,7.0,26.650384999999982,2.056287588410448,1.0,26650.38500000005,2.225975533813808,4.868126653160378,7.0,1.0,0.0,0.0,0.927504855552726,4,9252.075000000124,1.1748864362583107,1.0,1.0,2.959856457879017,0.0,3,17398.30999999992,3.2314891246132986,1.0,1.0,7.412486913535524,0.0
option2,daily_sma20_50,oos,current,sma20_50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
option2,daily_ret20_sma20,train,current,ret20_sma20,,8.0,29.312775000000258,1.6770213317495954,0.875,60.651556776554685,2.2245091378349855,4.168902464060926,7.0,0.875,0.0,0.125,0.9185794080526447,5,13436.955000000113,1.0755697007417857,1.0,1.0,2.200674678570973,0.0,3,15875.819999999856,2.679440716762612,0.6666666666666666,0.6666666666666666,7.449282106544182,0.0
option2,daily_ret20_sma20,oos,current,ret20_sma20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
