split,symbol,direction,entry_time_utc,exit_time_utc,entry_date_et,entry_hour_et,entry_weekday_et,month,entry_type,entry_model,grade,score,exit_reason,qty,addon_qty,entry_price,exit_price,initial_stop,bars_held_15m,pnl_dollars,r_multiple,mfe_r,mae_r,excellent,never_worked,low_mfe_loss,right_then_lost,capture_ratio
train,GLD,LONG,2023-03-01T13:30:00+00:00,2023-03-01T13:45:00+00:00,2023-03-01,8,2,2023-03,classic_38_62,confirmation_close,valid,16.0,STOP,6195,0,170.71,170.54,170.689663486003,1,-1115.1000000000984,-8.851074477494835,3.4420845190251304,6.884169038051659,False,False,False,True,0.0
train,GLD,LONG,2023-09-18T12:30:00+00:00,2023-09-18T12:45:00+00:00,2023-09-18,8,0,2023-09,classic_38_62,confirmation_close,a_plus,17.0,STOP,6081,0,178.83,178.57,178.75421601450174,1,-1641.8700000001174,-3.5627579920055883,0.0,3.826665991413406,False,True,True,False,0.0
train,GLD,SHORT,2023-05-12T12:30:00+00:00,2023-05-12T12:45:00+00:00,2023-05-12,8,4,2023-05,classic_38_62,confirmation_close,valid,16.0,STOP,6009,0,186.66,187.15,186.80374457237286,1,-3004.5000000000546,-3.4783922046324696,0.0,4.3132063337442155,False,True,True,False,0.0
train,GLD,LONG,2024-06-24T20:15:00+00:00,2024-06-25T08:00:00+00:00,2024-06-24,16,0,2024-06,classic_38_62,confirmation_close,valid,16.0,STOP,6028,0,215.8,214.85,215.4803900183909,47,-5786.880000000104,-3.003660884327733,0.5944745500231794,2.972372750115986,False,False,True,False,0.0
train,GLD,LONG,2021-07-02T12:15:00+00:00,2021-07-02T12:30:00+00:00,2021-07-02,8,4,2021-07,classic_38_62,confirmation_close,valid,15.0,STOP,4543,0,167.06,166.32,166.80472293666895,1,-3407.250000000042,-2.937984283481783,3.212196149940017,2.859638035922194,False,False,False,True,0.0
train,GLD,LONG,2022-10-26T12:30:00+00:00,2022-10-26T12:45:00+00:00,2022-10-26,8,2,2022-10,classic_38_62,confirmation_close,valid,15.0,STOP,6468,0,155.12,154.81,154.98378943573218,1,-2069.7600000000148,-2.349303827644342,0.0,2.716382550713784,False,True,True,False,0.0
train,GLD,LONG,2023-07-05T13:30:00+00:00,2023-07-05T13:45:00+00:00,2023-07-05,9,2,2023-07,classic_38_62,confirmation_close,valid,16.0,STOP,5832,0,179.43,178.76,179.09484346615432,1,-3965.7600000000925,-2.028902710615495,0.0,2.7449860202444767,False,True,True,False,0.0
train,GLD,SHORT,2021-07-19T12:30:00+00:00,2021-07-19T12:45:00+00:00,2021-07-19,8,0,2021-07,classic_38_62,confirmation_close,a_plus,16.0,STOP,4265,0,168.01,168.78,168.44072691100544,1,-3326.7000000000435,-1.8108921919441894,0.0,3.180669619183994,False,True,True,False,0.0
train,GLD,SHORT,2022-01-06T16:00:00+00:00,2022-01-06T16:15:00+00:00,2022-01-06,11,3,2022-01,classic_38_62,confirmation_close,valid,16.0,STOP,4588,0,167.22,167.48,167.3915236299952,1,-1238.7599999999584,-1.5741271334308775,0.11660200988383228,1.4575251235471578,False,True,True,False,0.0
train,GLD,LONG,2023-06-09T12:30:00+00:00,2023-06-09T12:45:00+00:00,2023-06-09,8,4,2023-06,classic_38_62,confirmation_close,valid,15.0,STOP,5940,0,182.54,182.29,182.3571706410356,1,-1544.4,-1.4220910770169564,0.0,1.2033078343989567,False,True,True,False,0.0
train,GLD,SHORT,2025-06-20T13:00:00+00:00,2025-06-20T13:15:00+00:00,2025-06-20,9,4,2025-06,classic_38_62,confirmation_close,valid,16.0,STOP,5302,0,308.01,308.86,308.6196425187025,1,-4559.720000000121,-1.410662763204799,0.0,2.1816063663515237,False,True,True,False,0.0
train,GLD,LONG,2022-07-27T13:30:00+00:00,2022-07-27T13:45:00+00:00,2022-07-27,9,2,2022-07,classic_38_62,confirmation_close,valid,16.0,STOP,6313,0,160.05,159.82,159.87058976979992,1,-1515.120000000115,-1.3377163594983041,0.0,3.00986180887107,False,True,True,False,0.0
train,GLD,LONG,2022-02-07T20:00:00+00:00,2022-02-07T20:15:00+00:00,2022-02-07,15,0,2022-02,classic_38_62,confirmation_close,valid,15.0,STOP,4638,0,170.20000000000002,170.06,170.0839607766393,1,-695.7000000000687,-1.292666355872718,0.0,1.7235551411636008,False,True,True,False,0.0
train,GLD,LONG,2023-08-23T19:15:00+00:00,2023-08-23T20:30:00+00:00,2023-08-23,15,2,2023-08,classic_38_62,confirmation_close,valid,15.0,STOP,5702,0,177.94,177.77,177.79961905513778,5,-1026.3599999999287,-1.2822253061244049,0.14246947845834998,1.2822253061245426,False,True,True,False,0.0
train,GLD,SHORT,2023-09-21T17:15:00+00:00,2023-09-21T17:30:00+00:00,2023-09-21,13,3,2023-09,classic_38_62,confirmation_close,valid,15.0,STOP,6033,0,178.05,178.23,178.19832136054725,1,-1146.2699999998697,-1.2810022730303918,0.0,1.0113175839713235,False,True,True,False,0.0
train,GLD,LONG,2022-02-07T21:00:00+00:00,2022-02-07T21:45:00+00:00,2022-02-07,16,0,2022-02,second_entry,confirmation_close,valid,16.0,STOP,4607,0,170.11,169.96,169.9839607766393,3,-737.1200000000262,-1.2694460956974507,0.0,1.0314249527543315,False,True,True,False,0.0
train,GLD,LONG,2023-06-16T13:00:00+00:00,2023-06-16T13:15:00+00:00,2023-06-16,9,4,2023-06,classic_38_62,confirmation_close,valid,16.0,STOP,5879,0,182.27,182.13,182.15170069840138,1,-881.8500000000869,-1.267970292072777,0.0,2.8740659953647065,False,True,True,False,0.0
train,GLD,LONG,2022-04-07T18:45:00+00:00,2022-04-07T19:15:00+00:00,2022-04-07,14,3,2022-04,classic_38_62,confirmation_close,valid,17.0,STOP,5000,0,180.36,180.16,180.18699734245484,2,-1050.0000000000853,-1.2138541857091916,0.46242064217480056,1.7918799884277217,False,True,True,False,0.0
train,GLD,LONG,2021-12-16T16:00:00+00:00,2021-12-16T16:15:00+00:00,2021-12-16,11,3,2021-12,classic_38_62,confirmation_close,valid,17.0,STOP,4776,0,167.97,167.74,167.77224936874677,1,-1146.2399999999514,-1.2136497288479406,0.0,1.2136497288480381,False,True,True,False,0.0
train,GLD,SHORT,2022-11-21T14:45:00+00:00,2022-11-22T10:30:00+00:00,2022-11-21,9,0,2022-11,classic_38_62,confirmation_close,valid,18.0,STOP,6047,0,162.0,162.71,162.59376674156422,79,-4353.840000000047,-1.212597388164979,1.2125973881649639,1.1620724969914216,False,False,False,True,0.0
