name,extra,train_net,train_trades,train_avg_r,train_pf,train_dd,train_top1_r,train_top5_r_share,train_dollar_top5_share,train_qqq_trades,train_qqq_avg_r,train_qqq_pnl,train_qqq_wr,train_gld_trades,train_gld_avg_r,train_gld_pnl,train_gld_wr,oos_net,oos_trades,oos_avg_r,oos_pf,oos_dd,oos_top1_r,oos_top5_r_share,oos_dollar_top5_share,oos_qqq_trades,oos_qqq_avg_r,oos_qqq_pnl,oos_qqq_wr,oos_gld_trades,oos_gld_avg_r,oos_gld_pnl,oos_gld_wr
BASE,{},96.90008999999951,126.0,2.3525178578614763,1.7673919239558589,13.751244374781338,273.57304856841205,0.7785939174023018,0.30447323916802216,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,52727.399999996844,0.5,3.577790000000023,10.0,0.3834032182873563,1.363389737547728,4.4476431412755115,2.278501008485718,1.0000000000000002,0.9999999999999999,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,8679.09999999997,0.625
min_stop_atr_0.02,"{""all.min_stop_atr_mult"": 0.02}",96.90008999999951,126.0,2.3525178578614763,1.7673919239558589,13.751244374781338,273.57304856841205,0.7785939174023018,0.30447323916802216,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,52727.399999996844,0.5,3.577790000000023,10.0,0.3834032182873563,1.363389737547728,4.4476431412755115,2.278501008485718,1.0000000000000002,0.9999999999999999,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,8679.09999999997,0.625
min_stop_atr_0.03,"{""all.min_stop_atr_mult"": 0.03}",96.90008999999951,126.0,2.3525178578614763,1.7673919239558589,13.751244374781338,273.57304856841205,0.7785939174023018,0.30447323916802216,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,52727.399999996844,0.5,3.577790000000023,10.0,0.3834032182873563,1.363389737547728,4.4476431412755115,2.278501008485718,1.0000000000000002,0.9999999999999999,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,8679.09999999997,0.625
min_stop_atr_0.05,"{""all.min_stop_atr_mult"": 0.05}",96.90008999999951,126.0,2.3525178578614763,1.7673919239558589,13.751244374781338,273.57304856841205,0.7785939174023018,0.30447323916802216,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,52727.399999996844,0.5,3.577790000000023,10.0,0.3834032182873563,1.363389737547728,4.4476431412755115,2.278501008485718,1.0000000000000002,0.9999999999999999,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,8679.09999999997,0.625
min_stop_atr_0.08,"{""all.min_stop_atr_mult"": 0.08}",96.90008999999951,126.0,2.3525178578614763,1.7673919239558589,13.751244374781338,273.57304856841205,0.7785939174023018,0.30447323916802216,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,52727.399999996844,0.5,3.577790000000023,10.0,0.3834032182873563,1.363389737547728,4.4476431412755115,2.278501008485718,1.0000000000000002,0.9999999999999999,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,8679.09999999997,0.625
min_stop_atr_0.10,"{""all.min_stop_atr_mult"": 0.1}",96.90008999999951,126.0,2.3525178578614763,1.7673919239558589,13.751244374781338,273.57304856841205,0.7785939174023018,0.30447323916802216,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,52727.399999996844,0.5,3.577790000000023,10.0,0.3834032182873563,1.363389737547728,4.4476431412755115,2.278501008485718,1.0000000000000002,0.9999999999999999,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,8679.09999999997,0.625
min_stop_atr_0.15,"{""all.min_stop_atr_mult"": 0.15}",100.73303999999747,125.0,0.40822507552587717,1.7988803798980404,13.864875047875119,29.70920885746363,0.3739371595875267,0.3046994519715391,20.0,0.6540856636141976,44734.330000000424,0.7,105.0,0.36139448731857815,55998.7099999968,0.5047619047619047,3.6312399999998015,10.0,0.34876649984054864,1.3686534328391455,4.4476431412755115,2.2725945058391193,1.0000000000000002,1.0,2.0,-1.0235001702788127,-5104.260000000042,0.0,8.0,0.691833167370389,8735.49999999997,0.625
min_stop_atr_0.20,"{""all.min_stop_atr_mult"": 0.2}",66.3292399999979,124.0,0.17627767391597135,1.531792035423047,14.317467258113373,11.953283213204289,0.28382014094714425,0.23782512676058848,20.0,0.6540514488895925,43177.50000000055,0.7,104.0,0.08439810180565953,23151.739999997917,0.49038461538461536,3.10491000000012,10.0,0.3005703561676977,1.309563856250538,4.385087815863902,2.2724995138628206,1.0,1.0,2.0,-1.0235001702788131,-5083.840000000042,0.0,8.0,0.6315879877793253,8188.750000000104,0.625
stop_source_pullback,"{""all.initial_stop_source"": ""pullback""}",-4.866280000000522,44.0,-0.09747626444664052,0.849726119531568,10.37588783863134,2.03777522521673,0.5123909889885832,0.5075078698350026,4.0,-0.3548070207125349,-2069.260000000091,0.5,40.0,-0.07174318882005111,-2797.0200000002587,0.4,-1.8624200000000128,4.0,-0.22743023707455584,0.0953724796844753,2.508672718599626,0.12168183426223768,1.0,1.0,3.0,-0.3438009275201537,-2058.770000000003,0.0,1.0,0.12168183426223768,196.35000000000753,1.0
pullback_min_stop_005,"{""all.initial_stop_source"": ""pullback"", ""all.min_stop_atr_mult"": 0.05}",-5.002640000000364,44.0,-0.06812749831346371,0.8460028191238581,10.506028503213836,2.0382848249639927,0.5123945360346895,0.507547494544738,4.0,-0.3548070207125349,-2067.130000000091,0.5,40.0,-0.0394595460735566,-2935.510000000262,0.4,-1.8624200000000128,4.0,-0.22743023707455584,0.0953724796844753,2.508672718599626,0.12168183426223768,1.0,1.0,3.0,-0.3438009275201537,-2058.770000000003,0.0,1.0,0.12168183426223768,196.35000000000753,1.0
signal_buffer_020,"{""all.signal_stop_buffer_atr_mult"": 0.2}",50.65635999999879,113.0,0.11725179348427245,1.4281833527322754,14.899726259621831,11.951392172122478,0.29474354591744395,0.23036687731406205,19.0,0.5965948875387772,34924.99000000023,0.6842105263157895,94.0,0.02036329574985127,15731.369999997763,0.46808510638297873,-1.5743799999998591,7.0,0.04499191240456346,0.8185598233517408,7.824893498259374,1.7743496461563208,0.9999999999999998,1.0,3.0,-1.0191030105655705,-6879.889999999941,0.0,4.0,0.8430631046321639,5305.5100000000475,0.75
signal_buffer_020_floor005,"{""all.signal_stop_buffer_atr_mult"": 0.2, ""all.min_stop_atr_mult"": 0.05}",50.65635999999879,113.0,0.11725179348427245,1.4281833527322754,14.899726259621831,11.951392172122478,0.29474354591744395,0.23036687731406205,19.0,0.5965948875387772,34924.99000000023,0.6842105263157895,94.0,0.02036329574985127,15731.369999997763,0.46808510638297873,-1.5743799999998591,7.0,0.04499191240456346,0.8185598233517408,7.824893498259374,1.7743496461563208,0.9999999999999998,1.0,3.0,-1.0191030105655705,-6879.889999999941,0.0,4.0,0.8430631046321639,5305.5100000000475,0.75
