name,guardrail_survivor,oos_net_delta,oos_trades_delta,oos_qqq_trades_delta,oos_qqq_excellent_delta,oos_avg_r_delta,oos_pf_delta,train_net_delta,train_trades_delta,train_avg_r_delta,train_pf_delta,train_dd_delta,train_qqq_excellent_delta
qqq_valid_shorts_min14,False,2.7682399999998317,1.0,1.0,1.0,0.02994302908374591,0.5435620155001044,-7.219920000003029,10.0,-0.060052466432770735,-0.2316674418713125,4.867857333619902,5.0
qqq_valid_shorts_min14_context0,False,2.7682399999998317,1.0,1.0,1.0,0.02994302908374591,0.5435620155001044,-17.270679999998393,8.0,-0.06454262588374005,-0.277398124627537,4.867673209088082,3.0
qqq_valid_shorts_min14_context025,False,2.7682399999998317,1.0,1.0,1.0,0.02994302908374591,0.5435620155001044,-57.13696500000022,-21.0,0.012320668626538467,-0.2599615705458893,2.7934436273120014,-16.0
qqq_valid_shorts_min14_daily2,False,-2.881500000000246,1.0,1.0,0.0,-0.15311390603593122,-1.1961830926262071,-5.303490000002213,8.0,-0.048779653681021884,-0.17586162348267886,4.867857333619902,4.0
qqq_valid_shorts_min14_t1_075,False,2.7682399999998317,1.0,1.0,1.0,0.02994302908374591,0.5435620155001044,-15.812540000003352,10.0,-0.0755962637602593,-0.2707802471007843,4.867212960334335,4.0
qqq_valid_shorts_min14_t1_075_stop05,False,3.4939199999995054,1.0,1.0,2.0,0.06064534897244789,0.6843302161237226,-11.965399999999889,10.0,-0.06800677488696882,-0.24943191319704439,4.867902829924873,4.0
qqq_valid_shorts_min14_risk_b_only,False,2.7682399999998317,1.0,1.0,1.0,0.02994302908374591,0.5435620155001044,-7.219920000003029,10.0,-0.060052466432770735,-0.2316674418713125,4.867857333619902,5.0
qqq_valid_shorts_min14_risk_b_only_t1_075,False,2.7682399999998317,1.0,1.0,1.0,0.02994302908374591,0.5435620155001044,-15.812540000003352,10.0,-0.0755962637602593,-0.2707802471007843,4.867212960334335,4.0
qqq_valid_shorts_min14_plus_gld_trail,False,2.7682399999998317,1.0,1.0,1.0,0.02994302908374591,0.5435620155001044,-3.1775850000014714,11.0,-0.05582551785441492,-0.22176633344174035,4.868765487848329,5.0
qqq_fib_high090_gld_trail,False,0.0,0.0,0.0,0.0,0.0,0.0,21.050049999997782,13.0,-0.03129564988356226,-0.008043505190547862,0.5981953768777775,6.0
